Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ES-2015-2801336,42157,42161,Standard Class,DB-13270,Deborah Brumfield,Home Office,Barcelona,Catalonia,Spain,South,OFF-BI-10002225,Office Supplies,Binders,"Cardinal Binding Machine, Durable",102.54,2,0,35.88
ES-2015-3186072,42275,42279,Standard Class,CA-12265,Christina Anderson,Consumer,Littlehampton,England,United Kingdom,North,TEC-CO-10000620,Technology,Copiers,"Brother Wireless Fax, Digital",1892.25,5,0,170.25
ES-2015-3186072,42275,42279,Standard Class,CA-12265,Christina Anderson,Consumer,Littlehampton,England,United Kingdom,North,TEC-AC-10004203,Technology,Accessories,"Logitech Flash Drive, Bluetooth",122.04,4,0,52.44
ES-2015-3186072,42275,42279,Standard Class,CA-12265,Christina Anderson,Consumer,Littlehampton,England,United Kingdom,North,TEC-CO-10001596,Technology,Copiers,"Brother Wireless Fax, Color",1140.75,3,0,239.49
ES-2015-5235241,42243,42244,Same Day,TB-21175,Thomas Boland,Corporate,Taverny,Ile-de-France,France,Central,OFF-SU-10004818,Office Supplies,Supplies,"Stiletto Trimmer, Steel",84.3,2,0,28.62
ES-2015-5235241,42243,42244,Same Day,TB-21175,Thomas Boland,Corporate,Taverny,Ile-de-France,France,Central,TEC-CO-10004034,Technology,Copiers,"Canon Fax Machine, High-Speed",538.203,2,0.15,-19.017
ES-2015-5235241,42243,42244,Same Day,TB-21175,Thomas Boland,Corporate,Taverny,Ile-de-France,France,Central,OFF-AR-10000319,Office Supplies,Art,"Binney & Smith Canvas, Fluorescent",157.86,3,0,29.97
ES-2015-4620955,42347,42349,Second Class,VM-21835,Vivian Mathis,Consumer,Karlsruhe,Baden-Württemberg,Germany,Central,OFF-AR-10001269,Office Supplies,Art,"BIC Markers, Water Color",59.22,2,0,20.7
ES-2015-4620955,42347,42349,Second Class,VM-21835,Vivian Mathis,Consumer,Karlsruhe,Baden-Württemberg,Germany,Central,OFF-ST-10001426,Office Supplies,Storage,"Eldon Folders, Single Width",45.927,3,0.1,18.837
ES-2015-5220738,42360,42362,Second Class,Co-12640,Corey-Lock,Consumer,Mansfield,England,United Kingdom,North,OFF-PA-10003937,Office Supplies,Paper,"Green Bar Memo Slips, Recycled",50.58,3,0,9.09
